Data (mV)

-4,476
-4,011
-3,66
-3,4
-3,192
-2,981
-2,715
-2,36
-1,91
-1,385
-0,81
-0,208
0,42
1,084
1,796
2,56
3,366
4,188
4,996
5,761
6,463
7,095
7,655
8,142
8,553
8,888
9,154
9,363
9,537
9,696
9,849
9,992
10,103
10,152
10,108
9,945
9,652
9,227
8,682
8,044
7,35
6,647
5,982
5,398
4,924
4,58
4,378
4,333
4,465
4,8
5,367
6,177
7,219
8,454
9,825
11,272
12,747
14,214
15,661
17,087
18,502
19,909
21,303
22,668
23,98
25,217
26,362
27,409
28,36
29,232
30,051
30,85
31,657
32,479
33,307
34,11
34,846
35,463
35,904
36,119
36,067
35,727
35,099
34,209
33,1
31,835
30,487
29,137
27,876
26,793
25,969
25,452
25,245
25,308
25,567
25,93
26,311
26,641
26,874
26,989
26,979
26,841
26,571
26,166
25,632
24,984
24,248
23,453
22,636
21,834
21,084
20,422
19,876
19,466
19,205
19,101
19,166
19,414
19,855
20,494
21,318
22,297
23,383
24,519
25,641
26,687
27,593
28,302
28,774
28,996
28,993
28,825
28,579
28,35
28,222
28,252
28,458
28,818
29,274
29,743
30,133
30,357
30,352
30,091
29,594
28,921
28,157
27,393
26,706
26,15
25,756
25,526
25,444
25,474
25,575
25,711
25,859
26,004
26,134
26,235
26,294
26,311
26,299
26,289
26,317
26,418
26,614
26,917
27,327
27,828
28,392
28,972
29,512
29,951
30,236
30,332
30,219
29,901
29,393
28,728
27,946
27,098
26,24
25,429
24,714
24,131
23,693
23,385
23,162
22,959
22,708
22,36
21,897
21,326
20,676
19,977
19,263
18,557
17,874
17,223
16,613
16,049
15,53
15,047
14,589
14,153
13,748
13,395
13,111
12,904
12,762
12,663
12,573
12,448
12,243
11,912
11,426
10,783
10,009
9,152
8,266
7,396
6,578
5,839
5,198
4,664
4,233
3,89
3,609
3,366
3,138
2,912
2,687
2,467
2,27
2,125
2,074
2,155
2,392
2,781
3,287
3,849
4,398
4,864
5,195
5,357
5,346
5,184
4,916
4,599
4,298
4,071
3,961
3,991
4,166
4,485
4,941
5,524
6,214
6,973
7,743
8,453
9,038
9,456
9,694
9,773
9,733
9,62
9,478
9,341
9,225
9,13
9,04
8,931
8,775
8,534
8,165
7,619
6,854
5,846
4,601
3,156
1,583
-0,023
-1,554
-2,913
-4,029
-4,866
-5,421
-5,716
-5,782
-5,654
-5,357
-4,911
-4,328
-3,62
-2,807
-1,933
-1,061
-0,279
0,318
0,649
0,669
0,378
-0,175
-0,918
-1,762
-2,623
-3,426
-4,112
-4,651
-5,046
-5,327
-5,543
-5,74
-5,955
-6,202
-6,479
-6,761
-7,014
-7,205
-7,31
-7,314
-7,208
-6,978
-6,609
-6,085
-5,399
-4,566
-3,618
-2,601
-1,565
-0,561
0,362
1,158
1,786
2,217
2,438
2,459
2,317
2,066
1,774
1,509
1,329
1,272
1,351
1,559
1,868
2,242
2,641
3,025
3,368
3,654
3,888
4,09
4,299
4,556
4,899
5,35
5,91
6,561
7,275
8,01
8,711
9,318
9,77
10,022
10,052
9,857
9,447
8,839
8,058
7,139
6,126
5,065
4,005
2,993
2,078
1,3
0,683
0,227
-0,088
-0,287
-0,383
-0,378
-0,268
-0,053
0,257
0,649
1,114
1,652
2,261
2,921
3,583
4,169
4,592
4,77
4,651
4,224
3,52
2,605
1,563
0,485
-0,539
-1,428
-2,108
-2,519
-2,621
-2,405
-1,898
-1,167
-0,308
0,573
1,375
2,021
2,461
2,685
2,717
2,607
2,416
2,202
2,011
1,873
1,809
1,833
1,952
2,174
2,504
2,948
3,503
4,159
4,898
5,686
6,481
7,23
7,881
8,39
8,725
8,874
8,848
8,674
8,385
8,003
7,54
6,995
6,368
5,656
4,861
3,991
3,062
2,104
1,153
0,243
-0,605
-1,39
-2,126
-2,838
-3,55
-4,272
-4,998
-5,704
-6,355
-6,921
-7,39
-7,77
-8,101
-8,44
-8,854
